word_number;sentence;pronoun;variants
0;['Моєму', 'старшому', 'брату', '(', 'є', ')', '29', 'років', '.'];Моєму;['Мій', 'Мого']
1;['У', 'мене', 'є', 'мама', ',', 'тато', ',', 'троє', 'братів', 'і', 'дві', 'сестри', '.'];мене;['я', 'мені']
0;['Я', 'шукаю', 'супермаркет', '.'];Я;['Мене', 'Мені']
1;['У', 'мене', 'також', 'є', 'бабуся', 'і', 'дідусь', '.'];мене;['я', 'мені']
1;['Тут', 'я', 'дізнаюся', 'дуже', 'багато', 'нового', 'і', 'цікавого', '.'];я;['мене', 'мені']
0;['Мені', 'потрібен', 'йогурт', 'і', 'вівсянка', '.'];Мені;['Я', 'Мене']
0;['Це', 'твій', 'одногрупник', '?'];Це;['Цього', 'Цьому', 'Цім']
1;['Це', 'твій', 'одногрупник', '?'];твій;['твого', 'твоєму']
0;['Я', 'навчаюся', 'на', 'другому', '(', '2', ')', 'курсі', '.'];Я;['Мене', 'Мені']
0;['Я', 'люблю', 'свою', "сім'ю", '.'];Я;['Мене', 'Мені']
5;['Щоб', 'донести', 'продукти', 'додому', ',', 'тобі', 'потрібен', 'пакет', '.'];тобі;['ти', 'тебе']
1;['Як', 'тебе', 'звати', '?'];тебе;['ти', 'тобі']
0;['Вона', 'пенсіонерка', '(', 'на', 'пенсії', ')', '.'];Вона;['Її', 'Їй', 'Ній']
0;['Вона', 'складається', 'з', '5', 'чоловік', ':', 'мама', ',', 'тато', ',', 'я', ',', 'брат', 'і', 'сестра', '.'];Вона;['Її', 'Їй', 'Ній']
10;['Вона', 'складається', 'з', '5', 'чоловік', ':', 'мама', ',', 'тато', ',', 'я', ',', 'брат', 'і', 'сестра', '.'];я;['мене', 'мені']
0;['Я', 'шукаю', 'помідори', 'і', 'банани', '.'];Я;['Мене', 'Мені']
0;['Я', 'дуже', 'люблю', 'гуляти', 'в', 'ботанічному', 'саду', 'весною', '.'];Я;['Мене', 'Мені']
0;['Мій', 'друг', 'замовив', 'лате', ',', 'а', 'я', 'замовила', 'чай', '.'];Мій;['Мого', 'Моєму']
6;['Мій', 'друг', 'замовив', 'лате', ',', 'а', 'я', 'замовила', 'чай', '.'];я;['мене', 'мені']
0;['Я', 'навчаюся', 'в', 'Києві', 'і', 'живу', 'в', 'гуртожитку', '.'];Я;['Мене', 'Мені']
0;['Моїх', 'сестер', 'звати', 'Оля', 'і', 'Марія', '.'];Моїх;['Мої', 'Моїм']
0;['Їй', '(', 'є', ')', '12', 'років', '.'];Їй;['Вона', 'Її', 'Ній']
0;['Я', 'маю', 'тітку', 'і', 'дядька', '.'];Я;['Мене', 'Мені']
0;['Я', '(', 'є', ')', 'щаслива', ',', 'що', 'ми', 'познайомилися', '.'];Я;['Мене', 'Мені']
7;['Я', '(', 'є', ')', 'щаслива', ',', 'що', 'ми', 'познайомилися', '.'];ми;['нас', 'нам']
0;['Я', '(', 'є', ')', 'родом', 'з', 'Канади', '.'];Я;['Мене', 'Мені']
1;['Звідки', 'ти', 'приїхав', 'до', 'України', '?'];ти;['тебе', 'тобі']
1;['В', 'цьому', 'корпусі', 'навчаються', 'медики', 'і', 'біологи', '.'];цьому;['цей', 'цього', 'цім']
0;['Я', 'сиджу', 'на', 'лавці', 'в', 'парку', 'і', 'насолоджуюся', 'погодою', '.'];Я;['Мене', 'Мені']
1;['А', 'вас', '?'];вас;['ви', 'вам']
2;['Перепрошую', ',', 'це', 'станція', 'Вокзальна', '?'];це;['цього', 'цьому', 'цім']
3;['—', 'Дякую', ',', 'я', 'подумаю', '.'];я;['мене', 'мені']
0;['Вам', 'потрібен', 'автобус', '333', '.'];Вам;['Ви', 'Вас']
4;['—', 'Добрий', 'день', ',', 'я', 'шукаю', 'сорочку', 'розміру', 'S', '.', '—', 'Я', 'можу', 'запропонувати', 'чотири', '(', '4', ')', 'сорочки', '.'];я;['мене', 'мені']
11;['—', 'Добрий', 'день', ',', 'я', 'шукаю', 'сорочку', 'розміру', 'S', '.', '—', 'Я', 'можу', 'запропонувати', 'чотири', '(', '4', ')', 'сорочки', '.'];Я;['Мене', 'Мені']
0;['Це', 'автобусна', 'зупинка', '?'];Це;['Цього', 'Цьому', 'Цім']
0;['Я', 'хочу', 'капці', 'рожевого', 'або', 'жовтого', 'кольору', '.'];Я;['Мене', 'Мені']
0;['Я', 'не', 'буду', 'його', 'купувати', '.'];Я;['Мене', 'Мені']
3;['Я', 'не', 'буду', 'його', 'купувати', '.'];його;['він', 'йому', 'нім']
0;['Я', "п'ю", 'каву', '.'];Я;['Мене', 'Мені']
1;['Якщо', 'ти', 'хочеш', 'щось', 'у', 'них', 'залишити', ',', 'то', 'поклади', 'речі', 'у', 'камеру', ',', 'а', 'потім', 'замкни', 'її', 'на', 'ключ', '.'];ти;['тебе', 'тобі']
5;['Якщо', 'ти', 'хочеш', 'щось', 'у', 'них', 'залишити', ',', 'то', 'поклади', 'речі', 'у', 'камеру', ',', 'а', 'потім', 'замкни', 'її', 'на', 'ключ', '.'];них;['вони', 'їх', 'їм']
17;['Якщо', 'ти', 'хочеш', 'щось', 'у', 'них', 'залишити', ',', 'то', 'поклади', 'речі', 'у', 'камеру', ',', 'а', 'потім', 'замкни', 'її', 'на', 'ключ', '.'];її;['вона', 'їй', 'ній']
1;['—', 'Я', 'хочу', 'їх', 'купити', '.'];Я;['Мене', 'Мені']
3;['—', 'Я', 'хочу', 'їх', 'купити', '.'];їх;['вони', 'їм', 'них']
0;['Мій', 'розмір', '(', 'є', ')', 'S', ',', 'а', 'не', 'XS', '.'];Мій;['Мого', 'Моєму']
1;['В', 'моєї', 'сестри', 'мого', 'брата', 'є', 'діти', ',', 'тому', 'в', 'мене', 'є', 'племінник', 'і', 'племінниця', '.'];моєї;['моя', 'моїй', 'мою']
3;['В', 'моєї', 'сестри', 'мого', 'брата', 'є', 'діти', ',', 'тому', 'в', 'мене', 'є', 'племінник', 'і', 'племінниця', '.'];мого;['мій', 'моєму']
8;['В', 'моєї', 'сестри', 'мого', 'брата', 'є', 'діти', ',', 'тому', 'в', 'мене', 'є', 'племінник', 'і', 'племінниця', '.'];тому;['той', 'того', 'тім']
10;['В', 'моєї', 'сестри', 'мого', 'брата', 'є', 'діти', ',', 'тому', 'в', 'мене', 'є', 'племінник', 'і', 'племінниця', '.'];мене;['я', 'мені']
1;['У', 'мене', 'є', 'мама', 'і', 'тато', ',', 'дві', 'бабусі', 'і', 'два', 'дідуся', '.'];мене;['я', 'мені']
3;['На', 'якому', 'автобусі', 'я', 'можу', 'туди', 'дістатися', '?'];я;['мене', 'мені']
0;['Я', 'живу', 'в', 'одинадцятому', '(', '11', ')', 'гуртожитку', '.'];Я;['Мене', 'Мені']
0;['Я', 'хочу', 'піти', 'з', 'тобою', 'на', 'концерт', '.'];Я;['Мене', 'Мені']
0;['Я', 'гуляю', 'в', 'парку', 'щодня', 'кожного', 'дня', '.'];Я;['Мене', 'Мені']
0;['Я', 'не', 'знаю', ',', 'де', 'знаходиться', 'розклад', '.'];Я;['Мене', 'Мені']
2;['—', 'Візьміть', 'ваш', 'чек', ',', 'гарного', 'дня', '!'];ваш;['вашого', 'вашому', 'вашім']
0;['Мій', 'старший', 'брат', 'працює', 'викладачем', 'української', 'мови', 'в', 'університеті', '.'];Мій;['Мого', 'Моєму']
0;['Я', 'навчаюся', 'в', 'університеті', '.'];Я;['Мене', 'Мені']
5;['А', 'звідки', '(', 'є', ')', 'ти', '?'];ти;['тебе', 'тобі']
0;['Мені', 'потібен', 'сороковий', '(', '40', ')', 'розмір', '.'];Мені;['Я', 'Мене']
0;['Ви', 'виходите', 'на', 'наступній', 'станції', '?'];Ви;['Вас', 'Вам']
1;['У', 'мого', 'тата', 'немає', 'рідних', 'братів', 'і', 'сестер', '.'];мого;['мій', 'моєму']
0;['Я', 'живу', 'в', 'Києві', '.'];Я;['Мене', 'Мені']
0;['Я', 'хочу', 'знайти', 'супермаркет', '.'];Я;['Мене', 'Мені']
2;['Підемо', 'по', 'цій', 'стежці', ',', 'сядемо', 'на', 'лавку', 'у', 'тіні', 'того', 'дерева', '.'];цій;['ця', 'цієї', 'цю']
10;['Підемо', 'по', 'цій', 'стежці', ',', 'сядемо', 'на', 'лавку', 'у', 'тіні', 'того', 'дерева', '.'];того;['той', 'тому', 'тім']
0;['Вони', '(', 'люди', ')', 'гуляють', '.'];Вони;['Їх', 'Їм', 'Них']
0;['Я', 'йду', 'по', 'доріжці', '.'];Я;['Мене', 'Мені']
3;['А', 'яке', 'в', 'тебе', '(', 'є', ')', 'хобі', '?'];тебе;['ти', 'тобі']
0;['Моя', 'кімната', '(', 'є', ')', 'під', 'номером', 'сто', 'десять', '(', '110', ')', '.'];Моя;['Моєї', 'Моїй', 'Мою']
2;['—', 'Дякую', 'вам', 'за', 'допомогу', '!'];вам;['ви', 'вас']
2;['Як', 'давно', 'ти', 'тут', 'живеш', '?'];ти;['тебе', 'тобі']
0;['Мене', 'звати', 'Даша', '.'];Мене;['Я', 'Мені']
2;['Які', 'у', 'вас', 'є', 'крупи', '?'];вас;['ви', 'вам']
0;['Мені', 'це', 'не', 'подобається', '.'];Мені;['Я', 'Мене']
1;['Мені', 'це', 'не', 'подобається', '.'];це;['цього', 'цьому', 'цім']
0;['Я', 'хочу', 'придбати', 'його', 'і', 'розрахуватися', 'картою', '.'];Я;['Мене', 'Мені']
3;['Я', 'хочу', 'придбати', 'його', 'і', 'розрахуватися', 'картою', '.'];його;['він', 'йому', 'нім']
1;['В', 'мене', 'велика', 'родина', '.'];мене;['я', 'мені']
5;['Не', 'підкажете', ',', 'котрий', 'з', 'них', '(', 'є', ')', 'другий', '(', '2', ')', '?'];них;['вони', 'їх', 'їм']
0;['Ми', 'з', 'подругою', 'ідемо', 'парком', '.'];Ми;['Нас', 'Нам']
4;['—', 'Доброго', 'дня', ',', 'ви', 'розраховуєтесь', 'картою', 'чи', 'готівкою', '?'];ви;['вас', 'вам']
0;['Ви', 'продаєте', 'зимові', 'рукавиці', 'і', 'шарфи', '?'];Ви;['Вас', 'Вам']
0;['Ми', 'дуже', 'любимо', 'наше', 'рідне', 'місто', '.'];Ми;['Нас', 'Нам']
3;['Ми', 'дуже', 'любимо', 'наше', 'рідне', 'місто', '.'];наше;['нашого', 'нашому', 'нашім']
0;['Моя', 'бабуся', 'живе', 'за', 'містом', '.'];Моя;['Моєї', 'Моїй', 'Мою']
0;['Мені', 'не', 'потрібно', 'йти', 'в', 'університет', 'і', 'вивчати', 'нові', 'слова', '.'];Мені;['Я', 'Мене']
0;['Я', 'шукаю', 'джинси', '.'];Я;['Мене', 'Мені']
0;['Мого', 'тата', 'звати', 'Іван', '.'];Мого;['Мій', 'Моєму']
3;['Ірина', 'старша', 'від', 'мене', '.'];мене;['я', 'мені']
2;['Де', 'можна', 'його', 'знайти', '?'];його;['він', 'йому', 'нім']
1;['Допоможіть', 'мені', 'знайти', 'торгівельний', 'центр', 'на', 'мапі', ',', 'будь', 'ласка', '.'];мені;['я', 'мене']
0;['Я', '(', 'є', ')', 'Аліна', '.'];Я;['Мене', 'Мені']
0;['Їй', '70', 'років', '.'];Їй;['Вона', 'Її', 'Ній']
1;['Там', 'я', 'можу', 'купити', 'їжу', ',', 'яка', 'мені', 'подобається', '.'];я;['мене', 'мені']
7;['Там', 'я', 'можу', 'купити', 'їжу', ',', 'яка', 'мені', 'подобається', '.'];мені;['я', 'мене']
1;['Запропонуйте', 'мені', ',', 'будь', 'ласка', ',', 'щось', 'інше', '.'];мені;['я', 'мене']
0;['Ти', 'теж', 'живеш', 'у', 'цьому', 'гуртожитку', '?'];Ти;['Тебе', 'Тобі']
4;['Ти', 'теж', 'живеш', 'у', 'цьому', 'гуртожитку', '?'];цьому;['цей', 'цього', 'цім']
0;['Я', 'люблю', 'проводити', 'час', 'з', 'бабусею', 'і', 'дідусем', ',', 'з', 'ними', 'мені', 'весело', '.'];Я;['Мене', 'Мені']
11;['Я', 'люблю', 'проводити', 'час', 'з', 'бабусею', 'і', 'дідусем', ',', 'з', 'ними', 'мені', 'весело', '.'];мені;['я', 'мене']
0;['Я', 'шукаю', 'вівсяну', 'кашу', 'і', 'мені', 'потрібні', 'курячі', 'яйця', '.'];Я;['Мене', 'Мені']
5;['Я', 'шукаю', 'вівсяну', 'кашу', 'і', 'мені', 'потрібні', 'курячі', 'яйця', '.'];мені;['я', 'мене']
1;['—', 'Ти', 'не', 'маєш', 'запасної', 'ручки', '?'];Ти;['Тебе', 'Тобі']
2;['Ким', 'працює', 'твоя', 'мама', '?'];твоя;['твоєї', 'твоїй', 'твою']
0;['Я', 'бачив', 'тебе', 'там', 'декілька', 'разів', '.'];Я;['Мене', 'Мені']
2;['Я', 'бачив', 'тебе', 'там', 'декілька', 'разів', '.'];тебе;['ти', 'тобі']
1;['—', 'Вам', 'потрібно', 'йти', 'у', 'підземний', 'перехід', '.'];Вам;['Ви', 'Вас']
2;['У', 'супермаркеті', 'я', 'можу', 'купити', 'багато', 'різних', 'товарів', ':', 'овочі', ',', 'фрукти', ',', "м'ясо", ',', 'рибу', ',', 'хліб', ',', 'крупи', ',', 'напої', 'тощо', '.'];я;['мене', 'мені']
0;['Я', 'хочу', 'придбати', 'студентський', 'проїзний', 'на', '62', 'поїздки', '.'];Я;['Мене', 'Мені']
0;['Я', 'їду', 'зі', 'станції', 'Васильківська', 'на', 'станцію', 'Університет', '.'];Я;['Мене', 'Мені']
2;['Куди', 'їде', 'цей', 'автобус', '?'];цей;['цього', 'цьому', 'цім']
1;['У', 'тебе', 'є', 'дідусь', 'і', 'бабуся', '?'];тебе;['ти', 'тобі']
0;['Мені', '(', 'є', ')', '19', 'років', '.'];Мені;['Я', 'Мене']
0;['Тобі', 'подобається', 'там', 'навчатися', '?'];Тобі;['Ти', 'Тебе']
0;['Я', 'буду', 'за', 'вами', '.'];Я;['Мене', 'Мені']
0;['Я', 'вирішив', 'вас', 'познайомити', '.'];Я;['Мене', 'Мені']
2;['Я', 'вирішив', 'вас', 'познайомити', '.'];вас;['ви', 'вам']
0;['Я', 'перепрошую', ',', 'підкажіть', ',', 'будь', 'ласка', ',', 'де', 'вихід', 'до', 'бульвару', 'Лесі', 'Українки', '?'];Я;['Мене', 'Мені']
2;['Коли', 'приходить', 'цей', 'потяг', '?'];цей;['цього', 'цьому', 'цім']
0;['Це', '(', 'є', ')', 'моя', 'подруга', 'Марія', '.'];Це;['Цього', 'Цьому', 'Цім']
4;['Це', '(', 'є', ')', 'моя', 'подруга', 'Марія', '.'];моя;['моєї', 'моїй', 'мою']
0;['Я', 'люблю', 'своїх', 'батьків', '.'];Я;['Мене', 'Мені']
0;['Я', 'маю', 'маму', 'і', 'тата', '.'];Я;['Мене', 'Мені']
0;['Я', 'цікавлюся', 'малюванням', '.'];Я;['Мене', 'Мені']
0;['Я', 'не', 'розумію', 'цю', 'тему', '.'];Я;['Мене', 'Мені']
3;['Я', 'не', 'розумію', 'цю', 'тему', '.'];цю;['ця', 'цієї', 'цій']
0;['Я', 'бачив', 'на', 'вашому', 'сайті', 'сіру', 'зимову', 'куртку', '.'];Я;['Мене', 'Мені']
3;['Я', 'бачив', 'на', 'вашому', 'сайті', 'сіру', 'зимову', 'куртку', '.'];вашому;['ваш', 'вашого', 'вашім']
0;['Вона', 'знаходиться', 'на', 'другому', '(', '2', ')', 'поверсі', '.'];Вона;['Її', 'Їй', 'Ній']
3;['У', 'якій', 'кімнаті', 'ти', 'живеш', '?'];ти;['тебе', 'тобі']
0;['Я', 'хочу', 'придбати', 'один', '(', '1', ')', 'кілограм', '.'];Я;['Мене', 'Мені']
0;['Я', 'думаю', ',', 'що', 'ми', 'будемо', 'ладнати', 'між', 'собою', '.'];Я;['Мене', 'Мені']
4;['Я', 'думаю', ',', 'що', 'ми', 'будемо', 'ладнати', 'між', 'собою', '.'];ми;['нас', 'нам']
0;['Я', 'ходжу', 'в', 'школу', ',', 'тому', 'я', 'школяр', '.'];Я;['Мене', 'Мені']
5;['Я', 'ходжу', 'в', 'школу', ',', 'тому', 'я', 'школяр', '.'];тому;['той', 'того', 'тім']
6;['Я', 'ходжу', 'в', 'школу', ',', 'тому', 'я', 'школяр', '.'];я;['мене', 'мені']
6;['Принесіть', ',', 'будь', 'ласка', ',', 'сукню', 'мого', 'розміру', '.'];мого;['мій', 'моєму']
0;['Я', 'заручена', ',', 'тому', 'скоро', 'ми', 'з', 'моїм', 'нареченим', 'можемо', 'почати', 'власну', "сім'ю", '.'];Я;['Мене', 'Мені']
3;['Я', 'заручена', ',', 'тому', 'скоро', 'ми', 'з', 'моїм', 'нареченим', 'можемо', 'почати', 'власну', "сім'ю", '.'];тому;['той', 'того', 'тім']
5;['Я', 'заручена', ',', 'тому', 'скоро', 'ми', 'з', 'моїм', 'нареченим', 'можемо', 'почати', 'власну', "сім'ю", '.'];ми;['нас', 'нам']
7;['Я', 'заручена', ',', 'тому', 'скоро', 'ми', 'з', 'моїм', 'нареченим', 'можемо', 'почати', 'власну', "сім'ю", '.'];моїм;['мій', 'мого', 'моєму']
0;['Я', 'не', 'можу', 'знайти', 'ліфт', '.'];Я;['Мене', 'Мені']
0;['Я', 'навчаюся', 'в', 'цьому', 'університеті', 'разом', 'з', 'молодшою', 'сестрою', '.'];Я;['Мене', 'Мені']
3;['Я', 'навчаюся', 'в', 'цьому', 'університеті', 'разом', 'з', 'молодшою', 'сестрою', '.'];цьому;['цей', 'цього', 'цім']
0;['Ми', '(', 'є', ')', 'сусіди', 'по', 'кімнаті', '.'];Ми;['Нас', 'Нам']
1;['Зараз', 'я', 'на', 'бульварі', 'Лесі', 'Українки', '.'];я;['мене', 'мені']
